"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"109","Cuatresia cuspidata","1","515868","Cuatresia cuspidata","1","species","","","","(Dunal) Hunz.","Solanaceae","Cuatresia","Cuatresia","1","cuspidata","cuspidata","1","","","","","","","","","","","","http://www.tropicos.org/Name/29606098","","Y","Accepted","Cuatresia cuspidata","Cuatresia cuspidata","(Dunal) Hunz.","515868","species","http://www.tropicos.org/Name/29606098","","Solanaceae","1","1","tropicos","",true,119
"110","Cupania cinerea","1","496007","Cupania cinerea","1","species","","","","Poepp.","Sapindaceae","Cupania","Cupania","1","cinerea","cinerea","1","","","","","","","","","","","","http://www.tropicos.org/Name/28600092","","Y","Accepted","Cupania cinerea","Cupania cinerea","Poepp.","496007","species","http://www.tropicos.org/Name/28600092","","Sapindaceae","1","1","tropicos","",true,120
"111","Cupania livida","1","496512","Cupania livida","1","species","","","","(Radlk.) Croat","Sapindaceae","Cupania","Cupania","1","livida","livida","1","","","","","","","","","","","","http://www.tropicos.org/Name/28600610","","Y","Accepted","Cupania livida","Cupania livida","(Radlk.) Croat","496512","species","http://www.tropicos.org/Name/28600610","","Sapindaceae","1","1","tropicos","",true,121
"112","Cyathea brunnescens","1","451080","Cyathea brunnescens","1","species","","","","(Barrington) R.C. Moran","Cyatheaceae","Cyathea","Cyathea","1","brunnescens","brunnescens","1","","","","","","","","","","","","http://www.tropicos.org/Name/26614159","","Y","Accepted","Cyathea brunnescens","Cyathea brunnescens","(Barrington) R.C. Moran","451080","species","http://www.tropicos.org/Name/26614159","","Cyatheaceae","1","1","tropicos","",true,122
"113","Cyathea caracasana","1","443776","Cyathea caracasana","1","species","","","","(Klotzsch) Domin","Cyatheaceae","Cyathea","Cyathea","1","caracasana","caracasana","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606749","","Y","Accepted","Cyathea caracasana","Cyathea caracasana","(Klotzsch) Domin","443776","species","http://www.tropicos.org/Name/26606749","","Cyatheaceae","1","1","tropicos","",true,123
"114","Cyathea catacampta","1","457879","Cyathea catacampta","1","species","","","","Alston","Cyatheaceae","Cyathea","Cyathea","1","catacampta","catacampta","1","","","","","","","","","","","","http://www.tropicos.org/Name/26621182","","Y","Accepted","Cyathea catacampta","Cyathea catacampta","Alston","457879","species","http://www.tropicos.org/Name/26621182","","Cyatheaceae","1","1","tropicos","",true,124
"115","Cyathea brachypoda","1","453096","Cyathea brachypoda","1","species","","","","Sodiro","Cyatheaceae","Cyathea","Cyathea","1","brachypoda","brachypoda","1","","","","","","","","","","","","http://www.tropicos.org/Name/26616221","","Y","Synonym","Cyathea pallescens","Cyathea pallescens","(Sodiro) Domin","443768","species","http://www.tropicos.org/Name/26606741","","Cyatheaceae","1","1","tropicos","",true,125
"116","Cyathea multiflora","1","443753","Cyathea multiflora","1","species","","","","Sm.","Cyatheaceae","Cyathea","Cyathea","1","multiflora","multiflora","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606725","","Y","Accepted","Cyathea multiflora","Cyathea multiflora","Sm.","443753","species","http://www.tropicos.org/Name/26606725","","Cyatheaceae","1","1","tropicos","",true,126
"117","Cyathea pallescens","1","443768","Cyathea pallescens","1","species","","","","(Sodiro) Domin","Cyatheaceae","Cyathea","Cyathea","1","pallescens","pallescens","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606741","","Y","Accepted","Cyathea pallescens","Cyathea pallescens","(Sodiro) Domin","443768","species","http://www.tropicos.org/Name/26606741","","Cyatheaceae","1","1","tropicos","",true,127
"118","Cyathea squamipes","1","457890","Cyathea squamipes","1","species","","","","H. Karst.","Cyatheaceae","Cyathea","Cyathea","1","squamipes","squamipes","1","","","","","","","","","","","","http://www.tropicos.org/Name/26621193","","Y","Accepted","Cyathea squamipes","Cyathea squamipes","H. Karst.","457890","species","http://www.tropicos.org/Name/26621193","","Cyatheaceae","1","1","tropicos","",true,128
"119","Cyathea corallifera","1","453102","Cyathea corallifera","1","species","","","","Sodiro","Cyatheaceae","Cyathea","Cyathea","1","corallifera","corallifera","1","","","","","","","","","","","","http://www.tropicos.org/Name/26616227","","Y","Accepted","Cyathea corallifera","Cyathea corallifera","Sodiro","453102","species","http://www.tropicos.org/Name/26616227","","Cyatheaceae","1","1","tropicos","",true,129
"120","Cybianthus humilis","1","317798","Cybianthus humilis","1","species","","","","(Mez) G. Agostini","Primulaceae","Cybianthus","Cybianthus","1","humilis","humilis","1","","","","","","","","","","","","http://www.tropicos.org/Name/22002357","","Y","Accepted","Cybianthus humilis","Cybianthus humilis","(Mez) G. Agostini","317798","species","http://www.tropicos.org/Name/22002357","","Primulaceae","1","1","tropicos","",true,130
"121","Dacryodes cupularis","1","113740","Dacryodes cupularis","1","species","","","","Cuatrec.","Burseraceae","Dacryodes","Dacryodes","1","cupularis","cupularis","1","","","","","","","","","","","","http://www.tropicos.org/Name/4700053","","Y","Accepted","Dacryodes cupularis","Dacryodes cupularis","Cuatrec.","113740","species","http://www.tropicos.org/Name/4700053","","Burseraceae","1","1","tropicos","",true,131
"122","Daphnopsis equatorialis","1","523209","Daphnopsis equatorialis","1","species","","","","Nevling","Thymelaeaceae","Daphnopsis","Daphnopsis","1","equatorialis","equatorialis","1","","","","","","","","","","","","http://www.tropicos.org/Name/32000558","","Y","Accepted","Daphnopsis equatorialis","Daphnopsis equatorialis","Nevling","523209","species","http://www.tropicos.org/Name/32000558","","Thymelaeaceae","1","1","tropicos","",true,132
"123","Delostoma integrifolium","1","97930","Delostoma integrifolium","1","species","","","","D. Don","Bignoniaceae","Delostoma","Delostoma","1","integrifolium","integrifolium","1","","","","","","","","","","","","http://www.tropicos.org/Name/3701063","","Y","Accepted","Delostoma integrifolium","Delostoma integrifolium","D. Don","97930","species","http://www.tropicos.org/Name/3701063","","Bignoniaceae","1","1","tropicos","",true,133
"124","Dendropanax macrocarpus","1","35241","Dendropanax macrocarpus","1","species","","","","Cuatrec.","Araliaceae","Dendropanax","Dendropanax","1","macrocarpus","macrocarpus","1","","","","","","","","","","","","http://www.tropicos.org/Name/2200051","","Y","Accepted","Dendropanax macrocarpus","Dendropanax macrocarpus","Cuatrec.","35241","species","http://www.tropicos.org/Name/2200051","","Araliaceae","1","1","tropicos","",true,134
"125","Dendropanax macrophyllus","1","35242","Dendropanax macrophyllus","1","species","","","","Cuatrec.","Araliaceae","Dendropanax","Dendropanax","1","macrophyllus","macrophyllus","1","","","","","","","","","","","","http://www.tropicos.org/Name/2200052","","Y","Accepted","Dendropanax macrophyllus","Dendropanax macrophyllus","Cuatrec.","35242","species","http://www.tropicos.org/Name/2200052","","Araliaceae","1","1","tropicos","",true,136
"126","Dendrophorbium lloense","1","727004","Dendrophorbium lloense","1","species","","","","(Hieron.) C. Jeffrey","Asteraceae","Dendrophorbium","Dendrophorbium","1","lloense","lloense","1","","","","","","","","","","","","http://www.tropicos.org/Name/50043409","","Y","Accepted","Dendrophorbium lloense","Dendrophorbium lloense","(Hieron.) C. Jeffrey","727004","species","http://www.tropicos.org/Name/50043409","","Asteraceae","1","1","tropicos","",true,137
"127","Dendrophorbium tipocochensis","1","734629","Dendrophorbium tipocochensis","1","species","","","","(Domke) B. Nord.","Asteraceae","Dendrophorbium","Dendrophorbium","1","tipocochensis","tipocochensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/50051188","","Y","Accepted","Dendrophorbium tipocochensis","Dendrophorbium tipocochensis","(Domke) B. Nord.","734629","species","http://www.tropicos.org/Name/50051188","","Asteraceae","1","1","tropicos","",true,138
"128","Dicksonia sellowiana","1","443563","Dicksonia sellowiana","1","species","","","","Hook.","Dicksoniaceae","Dicksonia","Dicksonia","1","sellowiana","sellowiana","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606534","","Y","Accepted","Dicksonia sellowiana","Dicksonia sellowiana","Hook.","443563","species","http://www.tropicos.org/Name/26606534","","Dicksoniaceae","1","1","tropicos","",true,139
"129","Discophora guianensis","1","265249","Discophora guianensis","1","species","","","","Miers","Stemonuraceae","Discophora","Discophora","1","guianensis","guianensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/16400067","","Y","Accepted","Discophora guianensis","Discophora guianensis","Miers","265249","species","http://www.tropicos.org/Name/16400067","","Stemonuraceae","1","1","tropicos","",true,140
"130","Duroia laevis","1","829290","Duroia laevis","1","species","","","","Devia, C.H. Perss. & C.M. Taylor","Rubiaceae","Duroia","Duroia","1","laevis","laevis","1","","","","","","","","","","","","http://www.tropicos.org/Name/50148700","","Y","Accepted","Duroia laevis","Duroia laevis","Devia, C.H. Perss. & C.M. Taylor","829290","species","http://www.tropicos.org/Name/50148700","","Rubiaceae","1","1","tropicos","",true,141
"131","Dussia lehmannii","1","181211","Dussia lehmannii","1","species","","","","Harms","Fabaceae","Dussia","Dussia","1","lehmannii","lehmannii","1","","","","","","","","","","","","http://www.tropicos.org/Name/13000613","","Y","Accepted","Dussia lehmannii","Dussia lehmannii","Harms","181211","species","http://www.tropicos.org/Name/13000613","","Fabaceae","1","1","tropicos","",true,142
"132","Elaeagia utilis","1","479721","Elaeagia utilis","1","species","","","","(Goudot) Wedd.","Rubiaceae","Elaeagia","Elaeagia","1","utilis","utilis","1","","","","","","","","","","","","http://www.tropicos.org/Name/27900953","","Y","Accepted","Elaeagia utilis","Elaeagia utilis","(Goudot) Wedd.","479721","species","http://www.tropicos.org/Name/27900953","","Rubiaceae","1","1","tropicos","",true,143
"133","Endlicheria formosa","1","280515","Endlicheria formosa","1","species","","","","A.C. Sm.","Lauraceae","Endlicheria","Endlicheria","1","formosa","formosa","1","","","","","","","","","","","","http://www.tropicos.org/Name/17802388","","Y","Accepted","Endlicheria formosa","Endlicheria formosa","A.C. Sm.","280515","species","http://www.tropicos.org/Name/17802388","","Lauraceae","1","1","tropicos","",true,144
"134","Erythrina edulis","1","188950","Erythrina edulis","1","species","","","","Triana ex Micheli","Fabaceae","Erythrina","Erythrina","1","edulis","edulis","1","","","","","","","","","","","","http://www.tropicos.org/Name/13009270","","Y","Accepted","Erythrina edulis","Erythrina edulis","Triana ex Micheli","188950","species","http://www.tropicos.org/Name/13009270","","Fabaceae","1","1","tropicos","",true,145
"135","Erythroxylum macrophyllum","1","172669","Erythroxylum macrophyllum","1","species","","","","Cav.","Erythroxylaceae","Erythroxylum","Erythroxylum","1","macrophyllum","macrophyllum","1","","","","","","","","","","","","http://www.tropicos.org/Name/12500174","","Y","Accepted","Erythroxylum macrophyllum","Erythroxylum macrophyllum","Cav.","172669","species","http://www.tropicos.org/Name/12500174","","Erythroxylaceae","1","1","tropicos","",true,148
"136","Escallonia myrtilloides","1","499807","Escallonia myrtilloides","1","species","","","","L. f.","Escalloniaceae","Escallonia","Escallonia","1","myrtilloides","myrtilloides","1","","","","","","","","","","","","http://www.tropicos.org/Name/29100693","","Y","Accepted","Escallonia myrtilloides","Escallonia myrtilloides","L. f.","499807","species","http://www.tropicos.org/Name/29100693","","Escalloniaceae","1","1","tropicos","",true,150
"137","Escallonia paniculata","1","499358","Escallonia paniculata","1","species","","","","(Ruiz & Pav.) Roem. & Schult.","Escalloniaceae","Escallonia","Escallonia","1","paniculata","paniculata","1","","","","","","","","","","","","http://www.tropicos.org/Name/29100227","","Y","Accepted","Escallonia paniculata","Escallonia paniculata","(Ruiz & Pav.) Roem. & Schult.","499358","species","http://www.tropicos.org/Name/29100227","","Escalloniaceae","1","1","tropicos","",true,151
"138","Eschweilera caudiculata","1","284917","Eschweilera caudiculata","1","species","","","","R. Knuth","Lecythidaceae","Eschweilera","Eschweilera","1","caudiculata","caudiculata","1","","","","","","","","","","","","http://www.tropicos.org/Name/17900315","","Y","Accepted","Eschweilera caudiculata","Eschweilera caudiculata","R. Knuth","284917","species","http://www.tropicos.org/Name/17900315","","Lecythidaceae","1","1","tropicos","",true,153
"139","Eschweilera awaensis","1","1252115","Eschweilera awaensis","1","species","","","","S.A. Mori & Cornejo","Lecythidaceae","Eschweilera","Eschweilera","1","awaensis","awaensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/100379336","","Y","Accepted","Eschweilera awaensis","Eschweilera awaensis","S.A. Mori & Cornejo","1252115","species","http://www.tropicos.org/Name/100379336","","Lecythidaceae","1","1","tropicos","",true,154
"140","Eschweilera rimbachii","1","284663","Eschweilera rimbachii","1","species","","","","Standl.","Lecythidaceae","Eschweilera","Eschweilera","1","rimbachii","rimbachii","1","","","","","","","","","","","","http://www.tropicos.org/Name/17900047","","Y","Accepted","Eschweilera rimbachii","Eschweilera rimbachii","Standl.","284663","species","http://www.tropicos.org/Name/17900047","","Lecythidaceae","1","1","tropicos","",true,155
"141","Eugenia florida","1","318331","Eugenia florida","1","species","","","","DC.","Myrtaceae","Eugenia","Eugenia","1","florida","florida","1","","","","","","","","","","","","http://www.tropicos.org/Name/22100551","","Y","Accepted","Eugenia florida","Eugenia florida","DC.","318331","species","http://www.tropicos.org/Name/22100551","","Myrtaceae","1","1","tropicos","",true,156
"142","Eugenia crassimarginata","1","1226850","Eugenia crassimarginata","1","species","","","","M.L. Kawas. & B. Holst","Myrtaceae","Eugenia","Eugenia","1","crassimarginata","crassimarginata","1","","","","","","","","","","","","http://www.tropicos.org/Name/100353204","","Y","Accepted","Eugenia crassimarginata","Eugenia crassimarginata","M.L. Kawas. & B. Holst","1226850","species","http://www.tropicos.org/Name/100353204","","Myrtaceae","1","1","tropicos","",true,157
"143","Faramea ampla","1","829288","Faramea ampla","1","species","","","","C.M. Taylor","Rubiaceae","Faramea","Faramea","1","ampla","ampla","1","","","","","","","","","","","","http://www.tropicos.org/Name/50148698","","Y","Accepted","Faramea ampla","Faramea ampla","C.M. Taylor","829288","species","http://www.tropicos.org/Name/50148698","","Rubiaceae","1","1","tropicos","",true,158
"144","Faramea calyptrata","1","832320","Faramea calyptrata","1","species","","","","C.M. Taylor","Rubiaceae","Faramea","Faramea","1","calyptrata","calyptrata","1","","","","","","","","","","","","http://www.tropicos.org/Name/50151859","","Y","Accepted","Faramea calyptrata","Faramea calyptrata","C.M. Taylor","832320","species","http://www.tropicos.org/Name/50151859","","Rubiaceae","1","1","tropicos","",true,159
"145","Faramea langlassei","1","479789","Faramea langlassei","1","species","","","","Standl.","Rubiaceae","Faramea","Faramea","1","langlassei","langlassei","1","","","","","","","","","","","","http://www.tropicos.org/Name/27901021","","Y","Accepted","Faramea langlassei","Faramea langlassei","Standl.","479789","species","http://www.tropicos.org/Name/27901021","","Rubiaceae","1","1","tropicos","",true,160
"146","Faramea occidentalis","1","481436","Faramea occidentalis","1","species","","","","(L.) A. Rich.","Rubiaceae","Faramea","Faramea","1","occidentalis","occidentalis","1","","","","","","","","","","","","http://www.tropicos.org/Name/27902704","","Y","Accepted","Faramea occidentalis","Faramea occidentalis","(L.) A. Rich.","481436","species","http://www.tropicos.org/Name/27902704","","Rubiaceae","1","1","tropicos","",true,161
"147","Faramea oblongifolia","1","490645","Faramea oblongifolia","1","species","","","","Standl.","Rubiaceae","Faramea","Faramea","1","oblongifolia","oblongifolia","1","","","","","","","","","","","","http://www.tropicos.org/Name/27912209","","Y","Accepted","Faramea oblongifolia","Faramea oblongifolia","Standl.","490645","species","http://www.tropicos.org/Name/27912209","","Rubiaceae","1","1","tropicos","",true,162
"148","Faramea parvibractea","1","486766","Faramea parvibractea","1","species","","","","Steyerm.","Rubiaceae","Faramea","Faramea","1","parvibractea","parvibractea","1","","","","","","","","","","","","http://www.tropicos.org/Name/27908244","","Y","Accepted","Faramea parvibractea","Faramea parvibractea","Steyerm.","486766","species","http://www.tropicos.org/Name/27908244","","Rubiaceae","1","1","tropicos","",true,163
"149","Ficus americana subsp. guianensis","1","953200","Ficus americana subsp. guianensis","1","subspecies","","","","(Desv. ex Ham.) C.C. Berg","Moraceae","Ficus","Ficus","1","americana","americana","1","","","","subsp.","guianensis","1","","","","","","http://www.tropicos.org/Name/50275628","","Y","Accepted","Ficus americana subsp. guianensis","Ficus americana","(Desv. ex Ham.) C.C. Berg","953200","subspecies","http://www.tropicos.org/Name/50275628","","Moraceae","1","1","tropicos","",true,165
"150","Ficus brevibracteata","1","313579","Ficus brevibracteata","1","species","","","","W.C. Burger","Moraceae","Ficus","Ficus","1","brevibracteata","brevibracteata","1","","","","","","","","","","","","http://www.tropicos.org/Name/21301260","","Y","Accepted","Ficus brevibracteata","Ficus brevibracteata","W.C. Burger","313579","species","http://www.tropicos.org/Name/21301260","","Moraceae","1","1","tropicos","",true,166
"151","Ficus cervantesiana","1","312940","Ficus cervantesiana","1","species","","","","Standl. & L.O. Williams","Moraceae","Ficus","Ficus","1","cervantesiana","cervantesiana","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300600","","Y","Accepted","Ficus cervantesiana","Ficus cervantesiana","Standl. & L.O. Williams","312940","species","http://www.tropicos.org/Name/21300600","","Moraceae","1","1","tropicos","",true,167
"152","Ficus caldasiana","1","313580","Ficus caldasiana","1","species","","","","Dugand","Moraceae","Ficus","Ficus","1","caldasiana","caldasiana","1","","","","","","","","","","","","http://www.tropicos.org/Name/21301261","","Y","Accepted","Ficus caldasiana","Ficus caldasiana","Dugand","313580","species","http://www.tropicos.org/Name/21301261","","Moraceae","1","1","tropicos","",true,168
"153","Ficus citrifolia","1","312804","Ficus citrifolia","1","species","","","","Mill.","Moraceae","Ficus","Ficus","1","citrifolia","citrifolia","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300460","","Y","Accepted","Ficus citrifolia","Ficus citrifolia","Mill.","312804","species","http://www.tropicos.org/Name/21300460","","Moraceae","1","1","tropicos","",true,169
"154","Ficus cuatrecasasiana","1","312525","Ficus cuatrecasasiana","1","species","","","","Dugand","Moraceae","Ficus","Ficus","1","cuatrecasasiana","cuatrecasasiana","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300178","","Y","Accepted","Ficus cuatrecasasiana","Ficus cuatrecasasiana","Dugand","312525","species","http://www.tropicos.org/Name/21300178","","Moraceae","1","1","tropicos","",true,172
"155","Ficus dulciaria","1","313711","Ficus dulciaria","1","species","","","","Dugand","Moraceae","Ficus","Ficus","1","dulciaria","dulciaria","1","","","","","","","","","","","","http://www.tropicos.org/Name/21301394","","Y","Accepted","Ficus dulciaria","Ficus dulciaria","Dugand","313711","species","http://www.tropicos.org/Name/21301394","","Moraceae","1","1","tropicos","",true,173
"156","Ficus lacunata","1","757369","Ficus lacunata","1","species","","","","Kvitvik","Moraceae","Ficus","Ficus","1","lacunata","lacunata","1","","","","","","","","","","","","http://www.tropicos.org/Name/50074493","","Y","Accepted","Ficus lacunata","Ficus lacunata","Kvitvik","757369","species","http://www.tropicos.org/Name/50074493","","Moraceae","1","1","tropicos","",true,174
"157","Ficus macbridei","1","312559","Ficus macbridei","1","species","","","","Standl.","Moraceae","Ficus","Ficus","1","macbridei","macbridei","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300212","","Y","Accepted","Ficus macbridei","Ficus macbridei","Standl.","312559","species","http://www.tropicos.org/Name/21300212","","Moraceae","1","1","tropicos","",true,175
"158","Ficus maxima","1","312948","Ficus maxima","1","species","","","","Mill.","Moraceae","Ficus","Ficus","1","maxima","maxima","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300608","","Y","Accepted","Ficus maxima","Ficus maxima","Mill.","312948","species","http://www.tropicos.org/Name/21300608","","Moraceae","1","1","tropicos","",true,176
"159","Ficus mutisii","1","313793","Ficus mutisii","1","species","","","","Dugand","Moraceae","Ficus","Ficus","1","mutisii","mutisii","1","","","","","","","","","","","","http://www.tropicos.org/Name/21301476","","Y","Accepted","Ficus mutisii","Ficus mutisii","Dugand","313793","species","http://www.tropicos.org/Name/21301476","","Moraceae","1","1","tropicos","",true,177
"160","Ficus tonduzii","1","312953","Ficus tonduzii","1","species","","","","Standl.","Moraceae","Ficus","Ficus","1","tonduzii","tonduzii","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300613","","Y","Accepted","Ficus tonduzii","Ficus tonduzii","Standl.","312953","species","http://www.tropicos.org/Name/21300613","","Moraceae","1","1","tropicos","",true,178
"161","Ficus trianae","1","313845","Ficus trianae","1","species","","","","Dugand","Moraceae","Ficus","Ficus","1","trianae","trianae","1","","","","","","","","","","","","http://www.tropicos.org/Name/21301529","","Y","Accepted","Ficus trianae","Ficus trianae","Dugand","313845","species","http://www.tropicos.org/Name/21301529","","Moraceae","1","1","tropicos","",true,179
"162","Freziera canescens","1","522174","Freziera canescens","1","species","","","","Bonpl.","Pentaphylacaceae","Freziera","Freziera","1","canescens","canescens","1","","","","","","","","","","","","http://www.tropicos.org/Name/31600202","","Y","Accepted","Freziera canescens","Freziera canescens","Bonpl.","522174","species","http://www.tropicos.org/Name/31600202","","Pentaphylacaceae","1","1","tropicos","",true,180
"163","Freziera reticulata","1","522383","Freziera reticulata","1","species","","","","Bonpl.","Pentaphylacaceae","Freziera","Freziera","1","reticulata","reticulata","1","","","","","","","","","","","","http://www.tropicos.org/Name/31600422","","Y","Accepted","Freziera reticulata","Freziera reticulata","Bonpl.","522383","species","http://www.tropicos.org/Name/31600422","","Pentaphylacaceae","1","1","tropicos","",true,181
"164","Freziera verrucosa","1","522384","Freziera verrucosa","1","species","","","","(Hieron.) Kobuski","Pentaphylacaceae","Freziera","Freziera","1","verrucosa","verrucosa","1","","","","","","","","","","","","http://www.tropicos.org/Name/31600423","","Y","Accepted","Freziera verrucosa","Freziera verrucosa","(Hieron.) Kobuski","522384","species","http://www.tropicos.org/Name/31600423","","Pentaphylacaceae","1","1","tropicos","",true,182
"165","Gaiadendron punctatum","1","295141","Gaiadendron punctatum","1","species","","","","(Ruiz & Pav.) G. Don","Loranthaceae","Gaiadendron","Gaiadendron","1","punctatum","punctatum","1","","","","","","","","","","","","http://www.tropicos.org/Name/19100506","","Y","Accepted","Gaiadendron punctatum","Gaiadendron punctatum","(Ruiz & Pav.) G. Don","295141","species","http://www.tropicos.org/Name/19100506","","Loranthaceae","1","1","tropicos","",true,183
"166","Garcinia macrophylla","1","139424","Garcinia macrophylla","1","species","","","","Mart.","Clusiaceae","Garcinia","Garcinia","1","macrophylla","macrophylla","1","","","","","","","","","","","","http://www.tropicos.org/Name/7800805","","Y","Accepted","Garcinia macrophylla","Garcinia macrophylla","Mart.","139424","species","http://www.tropicos.org/Name/7800805","","Clusiaceae","1","1","tropicos","",true,184
"167","Garcinia madruno","1","139754","Garcinia madruno","1","species","","","","(Kunth) Hammel","Clusiaceae","Garcinia","Garcinia","1","madruno","madruno","1","","","","","","","","","","","","http://www.tropicos.org/Name/7801144","","Y","Accepted","Garcinia madruno","Garcinia madruno","(Kunth) Hammel","139754","species","http://www.tropicos.org/Name/7801144","","Clusiaceae","1","1","tropicos","",true,187
"168","Geissanthus ambigua","1","317166","Geissanthus ambigua","1","species","","","","(Mart.) G. Agostini","Primulaceae","Geissanthus","Geissanthus","1","ambigua","ambigua","1","","","","","","","","","","","","http://www.tropicos.org/Name/22001717","","Y","Accepted","Geissanthus ambigua","Geissanthus ambigua","(Mart.) G. Agostini","317166","species","http://www.tropicos.org/Name/22001717","","Primulaceae","1","1","tropicos","",true,188
"169","Geissanthus andinus","1","315699","Geissanthus andinus","1","species","","","","Mez","Primulaceae","Geissanthus","Geissanthus","1","andinus","andinus","1","","","","","","","","","","","","http://www.tropicos.org/Name/22000207","","Y","Accepted","Geissanthus andinus","Geissanthus andinus","Mez","315699","species","http://www.tropicos.org/Name/22000207","","Primulaceae","1","1","tropicos","",true,189
"170","Geissanthus longistamineus","1","317133","Geissanthus longistamineus","1","species","","","","(A.C. Sm.) Pipoly","Primulaceae","Geissanthus","Geissanthus","1","longistamineus","longistamineus","1","","","","","","","","","","","","http://www.tropicos.org/Name/22001684","","Y","Accepted","Geissanthus longistamineus","Geissanthus longistamineus","(A.C. Sm.) Pipoly","317133","species","http://www.tropicos.org/Name/22001684","","Primulaceae","1","1","tropicos","",true,190
"171","Geissanthus pichinchae","1","315709","Geissanthus pichinchae","1","species","","","","Mez","Primulaceae","Geissanthus","Geissanthus","1","pichinchae","pichinchae","1","","","","","","","","","","","","http://www.tropicos.org/Name/22000218","","Y","Accepted","Geissanthus pichinchae","Geissanthus pichinchae","Mez","315709","species","http://www.tropicos.org/Name/22000218","","Primulaceae","1","1","tropicos","",true,191
"172","Geonoma undata","1","37316","Geonoma undata","1","species","","","","Klotzsch","Arecaceae","Geonoma","Geonoma","1","undata","undata","1","","","","","","","","","","","","http://www.tropicos.org/Name/2400552","","Y","Accepted","Geonoma undata","Geonoma undata","Klotzsch","37316","species","http://www.tropicos.org/Name/2400552","","Arecaceae","1","1","tropicos","",true,192
"173","Gloeospermum grandifolium","1","531738","Gloeospermum grandifolium","1","species","","","","Hekking","Violaceae","Gloeospermum","Gloeospermum","1","grandifolium","grandifolium","1","","","","","","","","","","","","http://www.tropicos.org/Name/33801171","","Y","Accepted","Gloeospermum grandifolium","Gloeospermum grandifolium","Hekking","531738","species","http://www.tropicos.org/Name/33801171","","Violaceae","1","1","tropicos","",true,193
"174","Gordonia fruticosa","1","522361","Gordonia fruticosa","1","species","","","","(Schrad.) H. Keng","Theaceae","Gordonia","Gordonia","1","fruticosa","fruticosa","1","","","","","","","","","","","","http://www.tropicos.org/Name/31600400","","Y","Accepted","Gordonia fruticosa","Gordonia fruticosa","(Schrad.) H. Keng","522361","species","http://www.tropicos.org/Name/31600400","","Theaceae","1","1","tropicos","",true,194
"175","Graffenrieda cucullata","1","308400","Graffenrieda cucullata","1","species","","","","(Triana) L.O. Williams","Melastomataceae","Graffenrieda","Graffenrieda","1","cucullata","cucullata","1","","","","","","","","","","","","http://www.tropicos.org/Name/20303657","","Y","Accepted","Graffenrieda cucullata","Graffenrieda cucullata","(Triana) L.O. Williams","308400","species","http://www.tropicos.org/Name/20303657","","Melastomataceae","1","1","tropicos","",true,195
"176","Grias peruviana","1","284745","Grias peruviana","1","species","","","","Miers","Lecythidaceae","Grias","Grias","1","peruviana","peruviana","1","","","","","","","","","","","","http://www.tropicos.org/Name/17900131","","Y","Accepted","Grias peruviana","Grias peruviana","Miers","284745","species","http://www.tropicos.org/Name/17900131","","Lecythidaceae","1","1","tropicos","",true,196
"177","Grias theobromicarpa","1","1236277","Grias theobromicarpa","1","species","","","","Cornejo & S.A. Mori","Lecythidaceae","Grias","Grias","1","theobromicarpa","theobromicarpa","1","","","","","","","","","","","","http://www.tropicos.org/Name/100363006","","Y","Accepted","Grias theobromicarpa","Grias theobromicarpa","Cornejo & S.A. Mori","1236277","species","http://www.tropicos.org/Name/100363006","","Lecythidaceae","1","1","tropicos","",true,197
"178","Guapira opposita","1","744446","Guapira opposita","1","species","","","","(Vell.) Reitz","Nyctaginaceae","Guapira","Guapira","1","opposita","opposita","1","","","","","","","","","","","","http://www.tropicos.org/Name/50061245","","Y","Accepted","Guapira opposita","Guapira opposita","(Vell.) Reitz","744446","species","http://www.tropicos.org/Name/50061245","","Nyctaginaceae","1","1","tropicos","",true,198
